"","CARREIRA","CARGO","occupation_native","occupation_english"
"762","GERENTE DE FINANCAS","GERENTE DE FINANCAS","gerente de financas","finance manager"
"763","SUPERVISOR DE ENCARGOS SOCIAIS","SUPERVISOR DE ENCARGOS SOCIAIS","supervisor de encargos sociais","social charges supervisor"
"764","SUPERVISOR DE CONTROLE E TOMBAMENTO DE B","SUPERVISOR DE CONTROLE E TOMBAMENTO DE B","supervisor de controle e tombamento de b","b supervisor of b"
"765","GERENTE DE PATRIMONIO IMOBILIARIO","GERENTE DE PATRIMONIO IMOBILIARIO","gerente de patrimonio imobiliario","immobiliario heritage manager"
"766","SUPERVISOR DE TECNOLOGIAS E APLICACOES","SUPERVISOR DE TECNOLOGIAS E APLICACOES","supervisor de tecnologias e aplicacoes","technologies and applications supervisor"
"767","GERENTE DE MONIT. E AVALIACAO DE PROGRAM","GERENTE DE MONIT. E AVALIACAO DE PROGRAM","gerente de monit. e avaliacao de program","monit manager. and evaluation of program"
"768","GERENTE DE MODERNIZACAO DE PROCESSOS","GERENTE DE MODERNIZACAO DE PROCESSOS","gerente de modernizacao de processos","process modernization manager"
"769","ASSESSOR LEGISLATIVO","ASSESSOR LEGISLATIVO","assessor legislativo","legislative advisor"
"770","GERENTE ADMINISTRATIVO","GERENTE ADMINISTRATIVO","gerente administrativo","administrative manager"
"771","SUPERINT. DE ATENDIMENTO AO CIDADAO - JA","SUPERINT. DE ATENDIMENTO AO CIDADAO - JA","superint. de atendimento ao cidadao - ja","superint. citizen service - ja"
"772","PROCURADOR DE JUSTICA","PROCURADOR DE JUSTICA","procurador de justica","prosecutor"
"773","SUPERINT. DE GESTAO PATRIMONIAL","SUPERINT. DE GESTAO PATRIMONIAL","superint. de gestao patrimonial","superint. of heritage"
"774","FUNCIONARIO TRIBUNAL DE CONTAS ALAGOAS","FUNCIONARIO TRIBUNAL DE CONTAS ALAGOAS","funcionario tribunal de contas alagoas","official court of auditors alagoas"
"775","SUPERVISOR DE ACESSO AO APRENDIZADO","SUPERVISOR DE ACESSO AO APRENDIZADO","supervisor de acesso ao aprendizado","learning access supervisor"
"776","ASSESSOR ESPECIAL DE CAPTACAO DE RECURSO","ASSESSOR ESPECIAL DE CAPTACAO DE RECURSO","assessor especial de captacao de recurso","special appeal capture advisor"
"777","ASSESSOR ESPECIAL DE RELACOES SINDICAIS","ASSESSOR ESPECIAL DE RELACOES SINDICAIS","assessor especial de relacoes sindicais","special union relations advisor"
"778","DIRETOR OPERACIONAL - CARHP","DIRETOR OPERACIONAL - CARHP","diretor operacional - carhp","operational director - carhp"
"779","GERENTE DE COMPLIANCE - AFAL","GERENTE DE COMPLIANCE - AFAL","gerente de compliance - afal","compliance manager - afal"
"780","GERENTE DE MONIT. E FISCALIZACAO","GERENTE DE MONIT. E FISCALIZACAO","gerente de monit. e fiscalizacao","monit manager. and supervision"
"781","SUPERVISOR DE MOVIMENTACAO E BENEFICIOS","SUPERVISOR DE MOVIMENTACAO E BENEFICIOS","supervisor de movimentacao e beneficios","movement supervisor and benefits"
"782","SUPERVISOR DE ANALISE E REDESENHO DE PRO","SUPERVISOR DE ANALISE E REDESENHO DE PRO","supervisor de analise e redesenho de pro","pro analysis and redet supervisor"
"783","GERENTE DE ESTUDOS E PROJECOES","GERENTE DE ESTUDOS E PROJECOES","gerente de estudos e projecoes","study and projects manager"
"784","DIRETOR PRESIDENTE - CARHP","DIRETOR PRESIDENTE - CARHP","diretor presidente - carhp","president director - carhp"
"785","PROFESSOR","MONITOR","professor","teacher"
"786","DIRETOR-PRESIDENTE","DIRETOR-PRESIDENTE","diretor-presidente","director-president"
"787","ASSESSOR TECNICO DE FOLHA DE PAGAMENTO","ASSESSOR TECNICO DE FOLHA DE PAGAMENTO","assessor tecnico de folha de pagamento","payroll technical advisor"
"788","SUPERVISOR EXECUTIVO DE VALORIZACAO DE P","SUPERVISOR EXECUTIVO DE VALORIZACAO DE P","supervisor executivo de valorizacao de p","p executive supervisor of valuation of p"
"789","GERENTE EXECUTIVO DE VALORIZACAO DE PESS","GERENTE EXECUTIVO DE VALORIZACAO DE PESS","gerente executivo de valorizacao de pess","executive manager of pers valuation"
"790","SUPERINT. DE INTERIORIZACAO","SUPERINT. DE INTERIORIZACAO","superint. de interiorizacao","superint. internalization"
"791","ASSESSOR TECNICO EXECUTIVO DE VALORIZACA","ASSESSOR TECNICO EXECUTIVO DE VALORIZACA","assessor tecnico executivo de valorizaca","valorizaca executive technical advisor"
"792","SUPERVISOR DE TRANSPORTE E MOBILIDADE UR","SUPERVISOR DE TRANSPORTE E MOBILIDADE UR","supervisor de transporte e mobilidade ur","transport and mobility supervisor"
"793","ASSESSOR DA SUPERINT. DE PLANEJ., ORCAME","ASSESSOR DA SUPERINT. DE PLANEJ., ORCAME","assessor da superint. de planej., orcame","superint advisor. of planej., orcame"
"794","SUPERINT. DE VIABILIDADE E CUSTOS DE OBR","SUPERINT. DE VIABILIDADE E CUSTOS DE OBR","superint. de viabilidade e custos de obr","superint. viability and costs of obr"
"795","ASSESSOR DA SUPERINT. DE INTERIORIZACAO","ASSESSOR DA SUPERINT. DE INTERIORIZACAO","assessor da superint. de interiorizacao","superint advisor. internalization"
"796","SUPERVISOR DE FINANCAS","SUPERVISOR DE FINANCAS","supervisor de financas","finance supervisor"
"797","GERENTE DE SUPRIMENTO","GERENTE DE SUPRIMENTO","gerente de suprimento","supply manager"
"798","ASSESSOR EXECUTIVO DE CONTRATOS E CONVEN","ASSESSOR EXECUTIVO DE CONTRATOS E CONVEN","assessor executivo de contratos e conven","executive advisor to contracts and convention"
"799","SUP. MED. DE CONF., PENAS E MED. ALTERN.","SUP. MED. DE CONF., PENAS E MED. ALTERN.","sup. med. de conf., penas e med. altern.","sup. med. of conf., feathers and med. alternate."
"800","GERENTE DE APOIO A COMERCIALIZACAO","GERENTE DE APOIO A COMERCIALIZACAO","gerente de apoio a comercializacao","support manager"
"801","SUP. DE ENFRENTAMENTO A VIOL. CONTRA CRI","SUP. DE ENFRENTAMENTO A VIOL. CONTRA CRI","sup. de enfrentamento a viol. contra cri","sup. of confrontation to viol. against cri"
"802","SUPERVISOR DE ARTICULACAO POLITICA","SUPERVISOR DE ARTICULACAO POLITICA","supervisor de articulacao politica","political articulation supervisor"
"803","GERENTE DE FINANCAS E CONTABILIDADE","GERENTE DE FINANCAS E CONTABILIDADE","gerente de financas e contabilidade","financas and accounting manager"
"804","GERENTE DE SERVICOS GERAIS","GERENTE DE SERVICOS GERAIS","gerente de servicos gerais","general service manager"
"805","GERENTE DE INTERIORIZACAO","GERENTE DE INTERIORIZACAO","gerente de interiorizacao","internalization manager"
"806","SUPERVISOR DE AQUISICAO","SUPERVISOR DE AQUISICAO","supervisor de aquisicao","purchase supervisor"
"807","ASSESSOR TECNICO DE FROTA","ASSESSOR TECNICO DE FROTA","assessor tecnico de frota","fleet technical advisor"
"808","ASSESSOR TECNICO DE INTERIORIZACAO","ASSESSOR TECNICO DE INTERIORIZACAO","assessor tecnico de interiorizacao","internalization technician advisor"
"809","SUPERVISOR DE ATENDIMENTO AOS MUNICIPIOS","SUPERVISOR DE ATENDIMENTO AOS MUNICIPIOS","supervisor de atendimento aos municipios","municipality care supervisor"
"810","GERENTE DE GESTAO DO TRABALHO E EDUCACAO","GERENTE DE GESTAO DO TRABALHO E EDUCACAO","gerente de gestao do trabalho e educacao","work and education management manager"
"811","SUPERINT. DE INFRAESTRUTURA HIDRICA","SUPERINT. DE INFRAESTRUTURA HIDRICA","superint. de infraestrutura hidrica","superint. of hydro infrastructure"
"812","GERENTE DE INFRAESTRUTURA HIDRICA","GERENTE DE INFRAESTRUTURA HIDRICA","gerente de infraestrutura hidrica","hydric infrastructure manager"
"813","ASSESSOR TECNICO DE SISTEMAS","ASSESSOR TECNICO DE SISTEMAS","assessor tecnico de sistemas","systems technical advisor"
"814","SUPERINT. DE ASSISTENCIA SOCIAL","SUPERINT. DE ASSISTENCIA SOCIAL","superint. de assistencia social","superint. social assistance"
"815","SUPERINT. DE AVALIACAO E GESTAO DE INFOR","SUPERINT. DE AVALIACAO E GESTAO DE INFOR","superint. de avaliacao e gestao de infor","superint. informing evaluation and management"
"816","ASSESSOR TECNICO DE PLANEJAMENTO E CONTR","ASSESSOR TECNICO DE PLANEJAMENTO E CONTR","assessor tecnico de planejamento e contr","technical planning and contr advisor"
"817","SUPERVISOR DE ANALISE DE CLIMA E TEMPO","SUPERVISOR DE ANALISE DE CLIMA E TEMPO","supervisor de analise de clima e tempo","climate and time analysis supervisor"
"818","SUPERVISOR DE GESTAO DO TRABALHO E EDUCA","SUPERVISOR DE GESTAO DO TRABALHO E EDUCA","supervisor de gestao do trabalho e educa","occupational and educational management supervisor"
"819","ASSESSOR TECNICO ESPECIAL DE PROJETOS","ASSESSOR TECNICO ESPECIAL DE PROJETOS","assessor tecnico especial de projetos","special technical advisor of projects"
"820","ASSESSOR TEC. DE PREST. DE CONTAS DE CON","ASSESSOR TEC. DE PREST. DE CONTAS DE CON","assessor tec. de prest. de contas de con","tec. of the prest. of con accounts"
"821","SUPERINT. ESPECIAL DE PROJ. ESP. E INFRA","SUPERINT. ESPECIAL DE PROJ. ESP. E INFRA","superint. especial de proj. esp. e infra","superint. proj. esp. and infra"
"822","SUPERVISOR DE COMBUSTIVEL","SUPERVISOR DE COMBUSTIVEL","supervisor de combustivel","fuel supervisor"
"823","SUPERVISOR DE TELEFONIA","SUPERVISOR DE TELEFONIA","supervisor de telefonia","telephone supervisor"
"824","SUPERINT. DE POLITICAS DE HABITACAO","SUPERINT. DE POLITICAS DE HABITACAO","superint. de politicas de habitacao","superint. housing policies"
"825","ASSESSOR TECNICO DA PROTECAO SOCIAL DE M","ASSESSOR TECNICO DA PROTECAO SOCIAL DE M","assessor tecnico da protecao social de m","technical advisor to social protection of m"
"826","SECRETARIO EXECUTIVO DE INFRAESTRUTURA","SECRETARIO EXECUTIVO DE INFRAESTRUTURA","secretario executivo de infraestrutura","executive secretary of infrastructure"
"827","ASSESSOR EXECUTIVO DE GESTAO INTERNA","ASSESSOR EXECUTIVO DE GESTAO INTERNA","assessor executivo de gestao interna","internal management executive advisor"
"828","SUPERVISOR DE EDUCACAO ALIMENTAR E REL.","SUPERVISOR DE EDUCACAO ALIMENTAR E REL.","supervisor de educacao alimentar e rel.","food education supervisor and rel."
"829","SUPERINT. DE CONTRATOS E CONVENIOS","SUPERINT. DE CONTRATOS E CONVENIOS","superint. de contratos e convenios","superint. of contracts and conveniences"
"830","ASSESSOR TECNICO DE FINANCAS E CONTABILI","ASSESSOR TECNICO DE FINANCAS E CONTABILI","assessor tecnico de financas e contabili","technical advisor of financas and account"
"831","ASSESSOR TECNICO DE CADASTRO DE FORNECED","ASSESSOR TECNICO DE CADASTRO DE FORNECED","assessor tecnico de cadastro de forneced","technical advisor to register"
"832","GERENTE DE PROTECAO SOCIAL ESPECIAL","GERENTE DE PROTECAO SOCIAL ESPECIAL","gerente de protecao social especial","special social protection manager"
"833","SUPERINT. DE PROJETOS SOCIAIS","SUPERINT. DE PROJETOS SOCIAIS","superint. de projetos sociais","superint. social projects"
"834","SECRETARIO-CHEFE DO GABINETE CIVIL","SECRETARIO-CHEFE DO GABINETE CIVIL","secretario-chefe do gabinete civil","civil office secretary"
"835","GERENTE DE POLITICAS PUBLICAS DA AGRICUL","GERENTE DE POLITICAS PUBLICAS DA AGRICUL","gerente de politicas publicas da agricul","agriculto public policy manager"
"836","SUPERINT. DE MEIO AMBIENTE","SUPERINT. DE MEIO AMBIENTE","superint. de meio ambiente","superint. environmental"
"837","SUPERINT. DE POLITICAS DE SANEAMENTO","SUPERINT. DE POLITICAS DE SANEAMENTO","superint. de politicas de saneamento","superint. of sanitation policies"
"838","SUPERVISOR DE MONIT. DO CADASTRO UNICO P","SUPERVISOR DE MONIT. DO CADASTRO UNICO P","supervisor de monit. do cadastro unico p","monit supervisor. unico registration p"
"839","SUPERVISOR DE RESIDUOS SOLIDOS","SUPERVISOR DE RESIDUOS SOLIDOS","supervisor de residuos solidos","solid waste supervisor"
"840","SUPERVISOR DE SERVICOS TERCEIRIZADOS","SUPERVISOR DE SERVICOS TERCEIRIZADOS","supervisor de servicos terceirizados","outsourced service supervisor"
"841","ASSESSOR TEC. DE PROM. DO DIR. HUM. A AL","ASSESSOR TEC. DE PROM. DO DIR. HUM. A AL","assessor tec. de prom. do dir. hum. a al","tec. from prom. from the dir. hum. al"
"842","SUPERINT. DE JORNALISMO","SUPERINT. DE JORNALISMO","superint. de jornalismo","superint. journalism"
"843","ASSESSOR ESPECIAL DO PRO-MEMORIA","ASSESSOR ESPECIAL DO PRO-MEMORIA","assessor especial do pro-memoria","pro-memory special advisor"
"844","GERENTE DE IRRIGACAO","GERENTE DE IRRIGACAO","gerente de irrigacao","irrigation manager"
"845","ASSESSOR TECNICO EXECUTIVO DE TECNOLOGIA","ASSESSOR TECNICO EXECUTIVO DE TECNOLOGIA","assessor tecnico executivo de tecnologia","technology technical technical advisor"
"846","GERENTE DE SISTEMAS DESCENTRALIZADOS DE","GERENTE DE SISTEMAS DESCENTRALIZADOS DE","gerente de sistemas descentralizados de","decentralized systems manager of"
"847","SUPERINT. DE RECURSOS HIDRICOS","SUPERINT. DE RECURSOS HIDRICOS","superint. de recursos hidricos","superint. of hydrical resources"
"848","ASSESSOR TEC. DE QUAL. EM SEG. ALIMENTAR","ASSESSOR TEC. DE QUAL. EM SEG. ALIMENTAR","assessor tec. de qual. em seg. alimentar","tec. which. in sec. to feed"
"849","ASSESSOR TECNICO DE CONTROLE DO CONSUMO","ASSESSOR TECNICO DE CONTROLE DO CONSUMO","assessor tecnico de controle do consumo","consumer control technical advisor"
"850","SUPERVISOR DE FINANCAS E CONTABILIDADE","SUPERVISOR DE FINANCAS E CONTABILIDADE","supervisor de financas e contabilidade","finances and accounting supervisor"
"851","ASSESSOR DE GOVERNANCA E TRANSPARENCIA","ASSESSOR DE GOVERNANCA E TRANSPARENCIA","assessor de governanca e transparencia","governance and transparency advisor"
"852","SUPERVISOR TECNICO-OPERACIONAL","SUPERVISOR TECNICO-OPERACIONAL","supervisor tecnico-operacional","technical-operational supervisor"
"853","ASSESSOR TECNICO DA PROTECAO SOCIAL DE A","ASSESSOR TECNICO DA PROTECAO SOCIAL DE A","assessor tecnico da protecao social de a","technical advisor to the social protection of a"
"854","SUPERVISOR DE FISCALIZACAO EM RECURSOS H","SUPERVISOR DE FISCALIZACAO EM RECURSOS H","supervisor de fiscalizacao em recursos h","supervisor of resources h resources h"
"855","GERENTE DE PROTECAO SOCIAL BASICA","GERENTE DE PROTECAO SOCIAL BASICA","gerente de protecao social basica","basic social protection manager"
"856","SUPERINT. DE OBRAS","SUPERINT. DE OBRAS","superint. de obras","superint. works"
"857","SUPERVISOR DE OUTORGAS","SUPERVISOR DE OUTORGAS","supervisor de outorgas","grant supervisor"
"858","SUPERINT. DE INCLUSAO PRODUTIVA","SUPERINT. DE INCLUSAO PRODUTIVA","superint. de inclusao produtiva","superint. productive inclusion"
"859","SUPERINT. DE PROJETOS ESPECIAIS","SUPERINT. DE PROJETOS ESPECIAIS","superint. de projetos especiais","superint. of special projects"
"860","SUPERINT. DE LICITACOES E CONTROLE DE RE","SUPERINT. DE LICITACOES E CONTROLE DE RE","superint. de licitacoes e controle de re","superint. of bidding and rectura"
"861","ASSES. ESP. NUC. PROC. GERAL DO EST. JUN","ASSES. ESP. NUC. PROC. GERAL DO EST. JUN","asses. esp. nuc. proc. geral do est. jun","asses. esp. nuc. proc. general of est. jun"
"862","ASSESSOR DA SUPERINT. DE LIC. E CONTR. D","ASSESSOR DA SUPERINT. DE LIC. E CONTR. D","assessor da superint. de lic. e contr. d","superint advisor. of lic. and contr. d"
"863","SUPERVISOR DE PLANEJAMENTO E ORCAMENTO","SUPERVISOR DE PLANEJAMENTO E ORCAMENTO","supervisor de planejamento e orcamento","planning and orcamento supervisor"
"864","SUPERVISOR DE ACOMPANHAMENTO AOS SIST. D","SUPERVISOR DE ACOMPANHAMENTO AOS SIST. D","supervisor de acompanhamento aos sist. d","supervisor of follow -up to the sist. d"
"865","GERENTE DE INFRAESTRUTURA TECNOLOGICA","GERENTE DE INFRAESTRUTURA TECNOLOGICA","gerente de infraestrutura tecnologica","technological infrastructure manager"
"866","GERENTE DE ARTICULACAO E INCLUSAO PRODUT","GERENTE DE ARTICULACAO E INCLUSAO PRODUT","gerente de articulacao e inclusao produt","articulation and product inclusion manager"
"867","GERENTE EXECUTIVO DE TECNOLOGIA DA INFOR","GERENTE EXECUTIVO DE TECNOLOGIA DA INFOR","gerente executivo de tecnologia da infor","inforor technology executive manager"
"868","SUPERINT. DE GESTAO DE TRANSPORTES","SUPERINT. DE GESTAO DE TRANSPORTES","superint. de gestao de transportes","superint. transportation"
"869","GERENTE EXECUTIVO ADMINISTRATIVO","GERENTE EXECUTIVO ADMINISTRATIVO","gerente executivo administrativo","administrative executive manager"
"870","GERENTE EXECUTIVO DE PLANEJAMENTO, ORCAM","GERENTE EXECUTIVO DE PLANEJAMENTO, ORCAM","gerente executivo de planejamento, orcam","executive planning manager, orcam"
"871","SUPERINT. DE COMUNICACAO","SUPERINT. DE COMUNICACAO","superint. de comunicacao","superint. communication"
"872","GERENTE DE ASSISTENCIA TECNICA AOS MUNIC","GERENTE DE ASSISTENCIA TECNICA AOS MUNIC","gerente de assistencia tecnica aos munic","technical assistance manager at munic"
"873","SUPERINT. DE POLITICAS DE GESTAO","SUPERINT. DE POLITICAS DE GESTAO","superint. de politicas de gestao","superint. managing policies"
"874","SUPERINT. DE APOIO A PRODUCAO CULTURAL","SUPERINT. DE APOIO A PRODUCAO CULTURAL","superint. de apoio a producao cultural","superint. support for cultural production"
"875","GERENTE DE MARKETING E PUBLICIDADE","GERENTE DE MARKETING E PUBLICIDADE","gerente de marketing e publicidade","marketing and advertising manager"
"876","SUPERVISOR DE FROTA","SUPERVISOR DE FROTA","supervisor de frota","fleet supervisor"
"877","GERENTE DE MIDIAS SOCIAIS","GERENTE DE MIDIAS SOCIAIS","gerente de midias sociais","social media manager"
"878","ASSESSOR ESPECIAL DE TRANSPORTE E DESENV","ASSESSOR ESPECIAL DE TRANSPORTE E DESENV","assessor especial de transporte e desenv","special transport and develop"
"879","SUPERVISOR DE PLANEJAMENTO E CONTROLE DE","SUPERVISOR DE PLANEJAMENTO E CONTROLE DE","supervisor de planejamento e controle de","planning and control supervisor"
"880","ASSESSOR TECNICO DE ACOMPANHAMENTO E MON","ASSESSOR TECNICO DE ACOMPANHAMENTO E MON","assessor tecnico de acompanhamento e mon","technical advisor to follow up and mon"
"881","SUPERVISOR DE CONVENIOS","SUPERVISOR DE CONVENIOS","supervisor de convenios","supervisor of conveniences"
"882","ASSESSOR TEC. DE ACOMP. AOS EQUIP. PUB.","ASSESSOR TEC. DE ACOMP. AOS EQUIP. PUB.","assessor tec. de acomp. aos equip. pub.","tec. of acomp. equip. pub."
"883","SUPERVISOR DE DESENVOLVIMENTO URBANO","SUPERVISOR DE DESENVOLVIMENTO URBANO","supervisor de desenvolvimento urbano","urban development supervisor"
"884","GERENTE DE FORTALECIMENTO DAS CADEIAS PR","GERENTE DE FORTALECIMENTO DAS CADEIAS PR","gerente de fortalecimento das cadeias pr","pr strengthening manager"
"885","GERENTE DE JORNALISMO","GERENTE DE JORNALISMO","gerente de jornalismo","journalism manager"
"886","SECRETARIO EXECUTIVO DE TRANSPORTE E DES","SECRETARIO EXECUTIVO DE TRANSPORTE E DES","secretario executivo de transporte e des","executive secretary of transport and des"
